coordinate,k_rad_per_um,lambda_um,Rs,Rp,Ts,Tp,As,Ap,Psi_deg,Delta_deg
17700.0,11.121237993707867,0.5649717514124294,0.6013261291822857,0.06351394381696018,0.34523923713383226,0.8419805198251111,0.05343463368388207,0.09450553635792869,18.00401197366674,140.0475260914647
17725.0,11.136945956975817,0.5641748942172073,0.593904570266744,0.0613343676600904,0.3514574364890323,0.8435122034266476,0.05463799324422364,0.09515342891326206,17.815396822923454,139.4244114187256
17750.0,11.152653920243765,0.5633802816901409,0.5863051290533206,0.05917328923053397,0.3578166935682283,0.8450219673455636,0.05587817737845113,0.09580474342390244,17.624435508946156,138.7943715992074
17775.0,11.168361883511714,0.5625879043600562,0.5785274681306062,0.05703197470841898,0.36431680451380494,0.8465088567759915,0.05715572735558888,0.09645916851558944,17.431065573044545,138.15675413223693
17800.0,11.184069846779664,0.5617977528089887,0.5705717471234928,0.054911694169641735,0.37095713093428295,0.8479719209213736,0.05847112194222426,0.09711638490898467,17.235215280385432,137.51084455661223
17825.0,11.199777810047612,0.5610098176718092,0.5624386794102064,0.052813720434826905,0.3777365529065242,0.849410213873627,0.059824767683269386,0.09777606569154607,17.036802446130544,136.85586093933526
17850.0,11.21548577331556,0.5602240896358543,0.5541295923965657,0.05073932788710936,0.3846534192087786,0.8508227955053609,0.061216988394655725,0.09843787660752978,16.83573313906029,136.19094791163272
17875.0,11.231193736583512,0.5594405594405594,0.5456464912535812,0.04868979126021633,0.39170549488960077,0.8522087323738591,0.06264801385681801,0.09910147636592459,16.63190025299329,135.51517022147124
17900.0,11.24690169985146,0.5586592178770949,0.5369921259534906,0.04666638439845804,0.39888990633852656,0.8535670986355017,0.06411796770798289,0.09976651696604022,16.425181936366556,134.8275057707774
17925.0,11.262609663119408,0.5578800557880056,0.5281700613560364,0.04467037899033559,0.406203084095314,0.8548969769692546,0.06562685454864958,0.10043264404040986,16.21543987071035,134.12683810466
17950.0,11.278317626387357,0.5571030640668524,0.5191847500009503,0.04270304327760887,0.413640703715576,0.8561974595077038,0.06717454628347369,0.10109949721468736,16.002517389551,133.411948319067
17975.0,11.294025589655307,0.5563282336578581,0.5100416071531022,0.04076564074176918,0.4211976251027029,0.8574676487742222,0.06876076774419487,0.10176671048400865,15.786237430648768,132.6815063523915
18000.0,11.309733552923255,0.5555555555555556,0.5007470875237305,0.03885942876996287,0.4288678308187498,0.8587066586246159,0.07038508165751967,0.10243391260542123,15.566400316611281,131.934061625413
18025.0,11.325441516191205,0.5547850208044383,0.4913087629545214,0.03698565730253811,0.4366443640004516,0.8599136151916822,0.072046873045027,0.1031007275057797,15.34278136205372,131.16803299234127
18050.0,11.341149479459153,0.554016620498615,0.48173540020160444,0.03514556746447471,0.44451926663011115,0.8610876578309962,0.07374533316828441,0.10376677470452911,15.115128309887606,130.38169796316203
18075.0,11.356857442727103,0.553250345781466,0.4720370377950129,0.033340390183051745,0.4524835190435633,0.862227940066246,0.07547944316142374,0.10443166975070217,14.883158605372376,129.57318115324964
18100.0,11.37256540599505,0.5524861878453039,0.4622250607778731,0.03157134479421548,0.4605269816969032,0.8633336305323471,0.07724795752522373,0.10509502467343734,14.64655652469623,128.740441909228
18125.0,11.388273369263,0.5517241379310345,0.45231227195104706,0.02983963764017957,0.4686383403579288,0.8644039139145746,0.07904938769102415,0.10575644844524579,14.404970185582583,127.8812610486427
18150.0,11.403981332530948,0.5509641873278237,0.4423129580673399,0.028146460660884155,0.47680505603364753,0.8654379918819142,0.08088198589901252,0.10641554745720172,14.158008481376484,126.99322663270634
18175.0,11.419689295798896,0.5502063273727649,0.43224294923916157,0.02649298998200196,0.4850133210877924,0.8664350840127815,0.0827437296730461,0.10707192600521653,13.905237997968952,126.0737186624874
18200.0,11.435397259066848,0.5494505494505494,0.42211966965120995,0.024880384502259382,0.49324802313672267,0.8673944287113045,0.08463230721206738,0.10772518678643617,13.646179995593684,125.11989254406389
18225.0,11.451105222334796,0.5486968449931413,0.41196217751217085,0.023309784482889492,0.5014927184322724,0.8683152841122428,0.08654510405555671,0.10837493140486776,13.380307565879512,124.12866109940062
18250.0,11.466813185602744,0.5479452054794521,0.4017911920454951,0.021782310142090946,0.5097296165389511,0.8691969289727495,0.08847919141555383,0.10902076088515955,13.107043109515999,123.09667479549897
18275.0,11.482521148870694,0.5471956224350205,0.39162910521833044,0.020299060257406756,0.5179395781823508,0.8700386635490643,0.09043131659931869,0.10966227619352886,12.82575632242013,122.02029970781986
18300.0,11.498229112138644,0.5464480874316939,0.3814999758504051,0.018861110778975766,0.5261021281770687,0.8708398104562689,0.09239789597252612,0.11029907876475531,12.53576292919327,120.89559250049182
18325.0,11.513937075406592,0.5457025920873124,0.37142950374208233,0.017469513456629386,0.5341954853268052,0.8715997155092691,0.09437501093111256,0.11093077103410154,12.236324462471114,119.71827135937295
18350.0,11.529645038674541,0.544959128065395,0.36144498152450083,0.016125294483824888,0.5421966111173407,0.8723177485431595,0.09635840735815837,0.1115569569730156,11.926649455564357,118.48368130187335
18375.0,11.54535300194249,0.54421768707483,0.35157522207563774,0.01482945316141345,0.5500812788860442,0.8729933042111415,0.09834349903831807,0.112177242627445,11.60589649288855,117.18675153162314
18400.0,11.561060965210439,0.5434782608695652,0.34185045957442556,0.013582960584235023,0.5578241649416348,0.873625802758215,0.1003253754839396,0.11279123665754998,11.273179646361319,115.82194139078523
18425.0,11.576768928478387,0.542740841248304,0.33230222258905556,0.012386758353520764,0.5653989628188612,0.8742146907688982,0.10229881459208334,0.113398550877581,10.927576913136173,114.3831698140105
